season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,18,2018_18_SEA_DAL,2019-01-05,DAL,SEA,24.0,22.0,1,2.0
2018,18,2018_18_LAC_BAL,2019-01-06,BAL,LAC,17.0,23.0,0,-6.0
2018,18,2018_18_PHI_CHI,2019-01-06,CHI,PHI,15.0,16.0,0,-1.0
2018,19,2018_19_IND_KC,2019-01-12,KC,IND,31.0,13.0,1,18.0
2018,19,2018_19_DAL_LA,2019-01-12,LA,DAL,30.0,22.0,1,8.0
2018,19,2018_19_LAC_NE,2019-01-13,NE,LAC,41.0,28.0,1,13.0
2018,19,2018_19_PHI_NO,2019-01-13,NO,PHI,20.0,14.0,1,6.0
2018,20,2018_20_LA_NO,2019-01-20,NO,LA,23.0,26.0,0,-3.0
2018,20,2018_20_NE_KC,2019-01-20,KC,NE,31.0,37.0,0,-6.0
2018,21,2018_21_NE_LA,2019-02-03,LA,NE,3.0,13.0,0,-10.0
2019,1,2019_01_GB_CHI,2019-09-05,CHI,GB,3.0,10.0,0,-7.0
2019,1,2019_01_LA_CAR,2019-09-08,CAR,LA,27.0,30.0,0,-3.0
2019,1,2019_01_TEN_CLE,2019-09-08,CLE,TEN,13.0,43.0,0,-30.0
2019,1,2019_01_KC_JAX,2019-09-08,JAX,KC,26.0,40.0,0,-14.0
2019,1,2019_01_BAL_MIA,2019-09-08,MIA,BAL,10.0,59.0,0,-49.0
2019,1,2019_01_ATL_MIN,2019-09-08,MIN,ATL,28.0,12.0,1,16.0
2019,1,2019_01_BUF_NYJ,2019-09-08,NYJ,BUF,16.0,17.0,0,-1.0
2019,1,2019_01_WAS_PHI,2019-09-08,PHI,WAS,32.0,27.0,1,5.0
2019,1,2019_01_IND_LAC,2019-09-08,LAC,IND,30.0,24.0,1,6.0
2019,1,2019_01_CIN_SEA,2019-09-08,SEA,CIN,21.0,20.0,1,1.0
2019,1,2019_01_DET_ARI,2019-09-08,ARI,DET,27.0,27.0,0,0.0
2019,1,2019_01_NYG_DAL,2019-09-08,DAL,NYG,35.0,17.0,1,18.0
2019,1,2019_01_SF_TB,2019-09-08,TB,SF,17.0,31.0,0,-14.0
2019,1,2019_01_PIT_NE,2019-09-08,NE,PIT,33.0,3.0,1,30.0
2019,1,2019_01_HOU_NO,2019-09-09,NO,HOU,30.0,28.0,1,2.0
2019,1,2019_01_DEN_OAK,2019-09-09,OAK,DEN,24.0,16.0,1,8.0
2019,2,2019_02_TB_CAR,2019-09-12,CAR,TB,14.0,20.0,0,-6.0
2019,2,2019_02_ARI_BAL,2019-09-15,BAL,ARI,23.0,17.0,1,6.0
2019,2,2019_02_SF_CIN,2019-09-15,CIN,SF,17.0,41.0,0,-24.0
2019,2,2019_02_LAC_DET,2019-09-15,DET,LAC,13.0,10.0,1,3.0
2019,2,2019_02_MIN_GB,2019-09-15,GB,MIN,21.0,16.0,1,5.0
2019,2,2019_02_JAX_HOU,2019-09-15,HOU,JAX,13.0,12.0,1,1.0
2019,2,2019_02_NE_MIA,2019-09-15,MIA,NE,0.0,43.0,0,-43.0
2019,2,2019_02_BUF_NYG,2019-09-15,NYG,BUF,14.0,28.0,0,-14.0
2019,2,2019_02_SEA_PIT,2019-09-15,PIT,SEA,26.0,28.0,0,-2.0
2019,2,2019_02_IND_TEN,2019-09-15,TEN,IND,17.0,19.0,0,-2.0
2019,2,2019_02_DAL_WAS,2019-09-15,WAS,DAL,21.0,31.0,0,-10.0
2019,2,2019_02_KC_OAK,2019-09-15,OAK,KC,10.0,28.0,0,-18.0
